,username,project,version_range,url,1C Enterprise,AGS Script,AMPL,ANTLR,ASP,ActionScript,Ada,AngelScript,ApacheConf,AppleScript,Assembly,Augeas,Awk,Batchfile,BitBake,BlitzBasic,Brainfuck,Bro,C,C#,C++,CMake,COBOL,CSS,Cap'n Proto,Clarion,Clean,Clojure,CoffeeScript,ColdFusion,Common Lisp,Cuda,D,DIGITAL Command Language,DTrace,Dart,Elixir,Emacs Lisp,EmberScript,Erlang,Forth,Fortran,FreeMarker,GAP,GCC Machine Description,GDB,GLSL,Gherkin,Gnuplot,Go,Groff,Groovy,HLSL,HTML,Haskell,Haxe,IDL,Inno Setup,Java,JavaScript,Jupyter Notebook,KRL,LLVM,Lex,Liquid,LiveScript,Logos,Lua,M,M4,MAXScript,Makefile,Mako,Mask,Mathematica,Matlab,Max,Meson,Module Management System,NSIS,NewLisp,Nix,OCaml,Objective-C,Objective-C++,OpenEdge ABL,PAWN,PHP,PLSQL,PLpgSQL,POV-Ray SDL,Pascal,Perl,Perl 6,PostScript,PowerShell,Prolog,Puppet,Python,QMake,R,RAML,RPC,Ragel,Rascal,Rebol,Redcode,RobotFramework,Roff,Ruby,Rust,SAS,SQLPL,SaltStack,Scala,Scheme,Scilab,Shell,Smalltalk,Smarty,SourcePawn,Standard ML,SuperCollider,Swift,SystemVerilog,Tcl,TeX,Terra,Turing,TypeScript,UnrealScript,VCL,Vala,Verilog,Vim script,Visual Basic,Volt,Vue,WebAssembly,XS,XSLT,Yacc,eC,xBase
0,Microsoft,ChakraCore,"(None, None)",https://github.com/Microsoft/ChakraCore,0,0,0,0,0,0,0,0,0,0,198181,0,0,95495,0,0,0,0,1638613,0,36641251,84540,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14047,0,1137,0,0,0,0,0,49258214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3163424,0,0,0,0,0,0,0,0,29562,0,0,50433,0,0,84984,0,0,0,0,0,0,0,0,0,161911,0,0,0,0,0,0,0,0,52867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918831,0,0,0,0,0
1,k0keoyo,CVE-2017-0038-EXP-C-JS,"(None, None)",https://github.com/k0keoyo/CVE-2017-0038-EXP-C-JS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,aspnet,Announcements,"('1.0.0', '4.3.1')",https://github.com/aspnet/Announcements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,torproject,tor,"('0.3.0.7', '0.2.4.28')",https://github.com/torproject/tor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11765334,0,205751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0,0,6666,0,0,0,0,0,0,0,0,0,0,0,0,0,3321,0,99171,0,15307,0,0,0,0,0,0,0,0,0,0,0,2991480,0,0,0,3641,0,0,0,0,17978,0,0,0,0,0,245996,0,0,0,0,0,0,0,0,0,0,3216,57921,0,0,0,0,0,0,53951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,lota,phamm,"('0.6.6', '0.6.6')",https://github.com/lota/phamm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JiounDai,CVE-2017-0478,"(None, None)",https://github.com/JiounDai/CVE-2017-0478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6631,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JiounDai,CVE-2017-0541,"(None, None)",https://github.com/JiounDai/CVE-2017-0541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,alephsecurity,PoCs,"(None, None)",https://github.com/alephsecurity/PoCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,derrekr,android_security,"(None, None)",https://github.com/derrekr/android_security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,zulip,zulip,"('1.4.2', '1.4.2')",https://github.com/zulip/zulip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470469,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545004,0,0,0,0,0,2403124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,398970,0,0,0,0,89907,4774989,0,0,0,0,0,0,0,0,0,0,249744,0,0,0,0,0,0,0,120367,0,0,0,0,0,0,0,0,0,0,0,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,thoughtbot,paperclip,"('3.1.4', '3.1.4')",https://github.com/thoughtbot/paperclip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8317,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,mruby,mruby,"('2.2.0', '2.4.1')",https://github.com/mruby/mruby,0,0,0,0,0,0,0,0,0,0,0,0,0,927,0,0,0,0,1196476,0,53593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629359,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168136,0,0
